SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,CORDS_TO_GREEN_TONS,MBF_TO_GREEN_TONS,DRYWT_TO_GREENWT_CONVERSION
8636,SOTO4,turkey berry,Solanum,torvum,NA,NA,2.96,5.92,1.76
8639,SOAL10,mangrove,Sonneratia,alba,NA,NA,1.09,2.18,1.76
8641,SOCH,mamani,Sophora,chrysophylla,NA,NA,1.7,3.4,1.76
8642,SOPHO,necklacepod,Sophora,spp.,NA,NA,1.7,3.4,1.76
8643,SOTO3,silver bush,Sophora,tomentosa,NA,NA,1.7,3.4,1.76
8644,SPCA2,African tuliptree,Spathodea,campanulata,NA,NA,2.96,5.92,1.76
8645,SPATH,spathodea,Spathodea,spp.,NA,NA,0.65,1.3,1.76
8646,SPSA7,Spiraeanthemum samoense,Spiraeanthemum,samoense,NA,NA,1.55,3.1,1.76
8648,SOSE3,mescal bean,Sophora,secundiflora,NA,NA,1.94,3.88,1.76
8649,SPDU3,Spondias dulcis,Spondias,dulcis,NA,NA,2.96,5.92,1.76
8650,SPMO,yellow mombin,Spondias,mombin,NA,NA,2.96,5.92,1.76
8651,COBO2,Anacahuita Texas Olive,Cordia,boissieri,NA,NA,2.96,5.92,1.76
8652,SPPU,purple mombin,Spondias,purpurea,NA,NA,2.96,5.92,1.76
8653,SPOND,Spondias,Spondias,spp.,NA,NA,0.98,1.96,1.76
